61	相看白刃血纷纷，死节从来岂顾勋	xiāng kàn bái rèn xuè fēn fēn ， sǐ jié cóng lái qǐ gù xūn	高适《燕歌行》	边塞豪情
62	月黑雁飞高，单于夜遁逃	yuè hēi yàn fēi gāo ， chán yú yè dùn táo	卢纶《塞下曲》	边塞豪情
63	欲将轻骑逐，大雪满弓刀	yù jiāng qīng jì zhú ， dà xuě mǎn gōng dāo	卢纶《塞下曲》	边塞豪情
64	林暗草惊风，将军夜引弓	lín àn cǎo jīng fēng ， jiāng jūn yè yǐn gōng	卢纶《塞下曲》	边塞豪情
65	平明寻白羽，没在石棱中	píng míng xún bái yǔ ， mò zài shí léng zhōng	卢纶《塞下曲》	边塞豪情
66	更吹羌笛关山月，无那金闺万里愁	gèng chuī qiāng dí guān shān yuè ， wú nà jīn guī wàn lǐ chóu	王昌龄《从军行》	边塞豪情
67	撩乱边愁听不尽，高高秋月照长城	liáo luàn biān chóu tīng bù jìn ， gāo gāo qiū yuè zhào cháng chéng	王昌龄《从军行》	边塞豪情
68	黑云压城城欲摧，甲光向日金鳞开	hēi yún yā chéng chéng yù cuī ， jiǎ guāng xiàng rì jīn lín kāi	李贺《雁门太守行》	边塞豪情
69	角声满天秋色里，塞上燕脂凝夜紫	jiǎo shēng mǎn tiān qiū sè lǐ ， sài shàng yān zhī níng yè zǐ	李贺《雁门太守行》	边塞豪情
70	报君黄金台上意，提携玉龙为君死	bào jūn huáng jīn tái shàng yì ， tí xié yù lóng wèi jūn sǐ	李贺《雁门太守行》	边塞豪情
71	大漠沙如雪，燕山月似钩	dà mò shā rú xuě ， yān shān yuè sì gōu	李贺《马诗》	边塞豪情
72	何当金络脑，快走踏清秋	hé dāng jīn luò nǎo ， kuài zǒu tà qīng qiū	李贺《马诗》	边塞豪情
73	白日登山望烽火，黄昏饮马傍交河	bái rì dēng shān wàng fēng huǒ ， huáng hūn yìn mǎ bàng jiāo hé	李颀《古从军行》	边塞豪情
74	年年战骨埋荒外，空见蒲桃入汉家	nián nián zhàn gǔ mái huāng wài ， kōng jiàn pú táo rù hàn jiā	李颀《古从军行》	边塞豪情
75	十年磨一剑，霜刃未曾试	shí nián mó yī jiàn ， shuāng rèn wèi céng shì	贾岛《剑客》	边塞豪情
76	今日把示君，谁有不平事	jīn rì bǎ shì jūn ， shuí yǒu bù píng shì	贾岛《剑客》	边塞豪情
77	海内存知己，天涯若比邻	hǎi nèi cún zhī jǐ ， tiān yá ruò bǐ lín	王勃《送杜少府之任蜀州》	送别赠友
78	与君离别意，同是宦游人	yǔ jūn lí bié yì ， tóng shì huàn yóu rén	王勃《送杜少府之任蜀州》	送别赠友
